1,20
2,19
3,18
4,17
5,16
6,15
7,14
8,13
9,12
10,11
1,19
20,18
2,17
3,16
4,15
5,14
6,13
7,12
8,11
9,10
1,18
19,17
20,16
2,15
3,14
4,13
5,12
6,11
7,10
8,9
1,17
18,16
19,15
20,14
2,13
3,12
4,11
5,10
6,9
7,8
1,16
17,15
18,14
19,13
20,12
2,11
3,10
4,9
5,8
6,7
1,15
16,14
17,13
18,12
19,11
20,10
2,9
3,8
4,7
5,6
1,14
15,13
16,12
17,11
18,10
19,9
20,8
2,7
3,6
4,5
1,13
14,12
15,11
16,10
17,9
18,8
19,7
20,6
2,5
3,4
1,12
13,11
14,10
15,9
16,8
17,7
18,6
19,5
20,4
2,3
1,11
12,10
13,9
14,8
15,7
16,6
17,5
18,4
19,3
20,2
1,10
11,9
12,8
13,7
14,6
15,5
16,4
17,3
18,2
19,20
1,9
10,8
11,7
12,6
13,5
14,4
15,3
16,2
17,20
18,19
1,8
9,7
10,6
11,5
12,4
13,3
14,2
15,20
16,19
17,18
1,7
8,6
9,5
10,4
11,3
12,2
13,20
14,19
15,18
16,17
1,6
7,5
8,4
9,3
10,2
11,20
12,19
13,18
14,17
15,16
1,5
6,4
7,3
8,2
9,20
10,19
11,18
12,17
13,16
14,15
1,4
5,3
6,2
7,20
8,19
9,18
10,17
11,16
12,15
13,14
1,3
4,2
5,20
6,19
7,18
8,17
9,16
10,15
11,14
12,13
1,2
3,20
4,19
5,18
6,17
7,16
8,15
9,14
10,13
11,12
